Date,Filename,Species,Class,Reason,S3_file_key,BucketName
2023-05-18,20230518085305657_mackerel_ok.jpeg,Mackerel,Ok,,mackerel/ok/20230518085305657_mackerel_ok.jpeg,fish-data-collection-v2
2023-05-18,20230518084706566_rohu_good.jpeg,Rohu,Good,,rohu/good/20230518084706566_rohu_good.jpeg,fish-data-collection-v2
2023-05-19,20230519071719731_mackerel_good.jpeg,Mackerel,Good,,mackerel/good/20230519071719731_mackerel_good.jpeg,fish-data-collection-v2
2023-05-20,20230520121600220_indian salmon _good.jpeg,Indian salmon,Good,,Indian salmon /good/20230520121600220_indian salmon _good.jpeg,fish-data-collection-v2
2023-05-20,20230520121628822_indian salmon _good.jpeg,Indian salmon,Good,,Indian salmon /good/20230520121628822_indian salmon _good.jpeg,fish-data-collection-v2
2023-05-20,20230520121702713_indian salmon _good.jpeg,Indian salmon,Good,,Indian salmon /good/20230520121702713_indian salmon _good.jpeg,fish-data-collection-v2
2023-05-20,20230520121728276_indian salmon _good.jpeg,Indian salmon,Good,,Indian salmon /good/20230520121728276_indian salmon _good.jpeg,fish-data-collection-v2
2023-05-20,20230520121748365_indian salmon _good.jpeg,Indian salmon,Good,,Indian salmon /good/20230520121748365_indian salmon _good.jpeg,fish-data-collection-v2
2023-05-20,20230520121844760_indian salmon _good.jpeg,Indian salmon,Good,,Indian salmon /good/20230520121844760_indian salmon _good.jpeg,fish-data-collection-v2
2023-05-20,20230520121338167_barracoda_bad.jpeg,Barracuda,Bad,,barracoda/bad/20230520121338167_barracoda_bad.jpeg,fish-data-collection-v2
2023-05-20,20230520121405705_barracoda_bad.jpeg,Barracuda,Bad,,barracoda/bad/20230520121405705_barracoda_bad.jpeg,fish-data-collection-v2
2023-05-20,20230520121427980_barracoda_bad.jpeg,Barracuda,Bad,,barracoda/bad/20230520121427980_barracoda_bad.jpeg,fish-data-collection-v2
2023-05-20,20230520121504248_barracoda_good.jpeg,Barracuda,Good,,barracoda/good/20230520121504248_barracoda_good.jpeg,fish-data-collection-v2
2023-05-20,20230520114813384_basaa_bad.jpeg,Basa,Bad,,basaa/bad/20230520114813384_basaa_bad.jpeg,fish-data-collection-v2
2023-05-20,20230520114845739_basaa_bad.jpeg,Basa,Bad,,basaa/bad/20230520114845739_basaa_bad.jpeg,fish-data-collection-v2
2023-05-20,20230520114915953_basaa_bad.jpeg,Basa,Bad,,basaa/bad/20230520114915953_basaa_bad.jpeg,fish-data-collection-v2
2023-05-20,20230520114953905_basaa_bad.jpeg,Basa,Bad,,basaa/bad/20230520114953905_basaa_bad.jpeg,fish-data-collection-v2
2023-05-20,20230520115032755_basaa_bad.jpeg,Basa,Bad,,basaa/bad/20230520115032755_basaa_bad.jpeg,fish-data-collection-v2
2023-05-20,20230520115055836_basaa_bad.jpeg,Basa,Bad,,basaa/bad/20230520115055836_basaa_bad.jpeg,fish-data-collection-v2
2023-05-20,20230520115132263_basaa_good.jpeg,Basa,Good,,basaa/good/20230520115132263_basaa_good.jpeg,fish-data-collection-v2
2023-05-20,20230520115208227_basaa_good.jpeg,Basa,Good,,basaa/good/20230520115208227_basaa_good.jpeg,fish-data-collection-v2
2023-05-20,20230520115257655_basaa_good.jpeg,Basa,Good,,basaa/good/20230520115257655_basaa_good.jpeg,fish-data-collection-v2
2023-05-20,20230520115333252_basaa_good.jpeg,Basa,Good,,basaa/good/20230520115333252_basaa_good.jpeg,fish-data-collection-v2
2023-05-20,20230520115401642_basaa_good.jpeg,Basa,Good,,basaa/good/20230520115401642_basaa_good.jpeg,fish-data-collection-v2
2023-05-20,20230520115434289_basaa_good.jpeg,Basa,Good,,basaa/good/20230520115434289_basaa_good.jpeg,fish-data-collection-v2
2023-05-20,20230520115453980_basaa_good.jpeg,Basa,Good,,basaa/good/20230520115453980_basaa_good.jpeg,fish-data-collection-v2
2023-05-20,20230520115528983_basaa_good.jpeg,Basa,Good,,basaa/good/20230520115528983_basaa_good.jpeg,fish-data-collection-v2
2023-05-20,20230520115559508_basaa_good.jpeg,Basa,Good,,basaa/good/20230520115559508_basaa_good.jpeg,fish-data-collection-v2
2023-05-20,20230520115627569_basaa_good.jpeg,Basa,Good,,basaa/good/20230520115627569_basaa_good.jpeg,fish-data-collection-v2
2023-05-20,20230520105846433_mackerel_bad.jpeg,Mackerel,Bad,,mackerel/bad/20230520105846433_mackerel_bad.jpeg,fish-data-collection-v2
2023-05-20,20230520105848621_mackerel_bad.jpeg,Mackerel,Bad,,mackerel/bad/20230520105848621_mackerel_bad.jpeg,fish-data-collection-v2
2023-05-20,20230520105903559_mackerel_bad.jpeg,Mackerel,Bad,,mackerel/bad/20230520105903559_mackerel_bad.jpeg,fish-data-collection-v2
2023-05-20,20230520105925351_mackerel_bad.jpeg,Mackerel,Bad,,mackerel/bad/20230520105925351_mackerel_bad.jpeg,fish-data-collection-v2
2023-05-20,20230520105940522_mackerel_bad.jpeg,Mackerel,Bad,,mackerel/bad/20230520105940522_mackerel_bad.jpeg,fish-data-collection-v2
2023-05-20,20230520105957921_mackerel_bad.jpeg,Mackerel,Bad,,mackerel/bad/20230520105957921_mackerel_bad.jpeg,fish-data-collection-v2
2023-05-20,20230520110029974_mackerel_bad.jpeg,Mackerel,Bad,,mackerel/bad/20230520110029974_mackerel_bad.jpeg,fish-data-collection-v2
2023-05-20,20230520110059951_mackerel_bad.jpeg,Mackerel,Bad,,mackerel/bad/20230520110059951_mackerel_bad.jpeg,fish-data-collection-v2
2023-05-20,20230520110124800_mackerel_bad.jpeg,Mackerel,Bad,,mackerel/bad/20230520110124800_mackerel_bad.jpeg,fish-data-collection-v2
2023-05-20,20230520110141260_mackerel_bad.jpeg,Mackerel,Bad,,mackerel/bad/20230520110141260_mackerel_bad.jpeg,fish-data-collection-v2
2023-05-20,20230520110157211_mackerel_bad.jpeg,Mackerel,Bad,,mackerel/bad/20230520110157211_mackerel_bad.jpeg,fish-data-collection-v2
2023-05-20,20230520110212089_mackerel_bad.jpeg,Mackerel,Bad,,mackerel/bad/20230520110212089_mackerel_bad.jpeg,fish-data-collection-v2
2023-05-20,20230520104353305_mackerel_good.jpeg,Mackerel,Good,,mackerel/good/20230520104353305_mackerel_good.jpeg,fish-data-collection-v2
2023-05-20,20230520104419917_mackerel_good.jpeg,Mackerel,Good,,mackerel/good/20230520104419917_mackerel_good.jpeg,fish-data-collection-v2
2023-05-20,20230520104442028_mackerel_good.jpeg,Mackerel,Good,,mackerel/good/20230520104442028_mackerel_good.jpeg,fish-data-collection-v2
2023-05-20,20230520104536544_mackerel_good.jpeg,Mackerel,Good,,mackerel/good/20230520104536544_mackerel_good.jpeg,fish-data-collection-v2
2023-05-20,20230520105457403_mackerel_good.jpeg,Mackerel,Good,,mackerel/good/20230520105457403_mackerel_good.jpeg,fish-data-collection-v2
2023-05-20,20230520105512568_mackerel_good.jpeg,Mackerel,Good,,mackerel/good/20230520105512568_mackerel_good.jpeg,fish-data-collection-v2
2023-05-20,20230520105527443_mackerel_good.jpeg,Mackerel,Good,,mackerel/good/20230520105527443_mackerel_good.jpeg,fish-data-collection-v2
2023-05-20,20230520105541873_mackerel_good.jpeg,Mackerel,Good,,mackerel/good/20230520105541873_mackerel_good.jpeg,fish-data-collection-v2
2023-05-20,20230520105542991_mackerel_good.jpeg,Mackerel,Good,,mackerel/good/20230520105542991_mackerel_good.jpeg,fish-data-collection-v2
2023-05-20,20230520105556784_mackerel_good.jpeg,Mackerel,Good,,mackerel/good/20230520105556784_mackerel_good.jpeg,fish-data-collection-v2
2023-05-20,20230520105613112_mackerel_good.jpeg,Mackerel,Good,,mackerel/good/20230520105613112_mackerel_good.jpeg,fish-data-collection-v2
2023-05-20,20230520105649423_mackerel_good.jpeg,Mackerel,Good,,mackerel/good/20230520105649423_mackerel_good.jpeg,fish-data-collection-v2
2023-05-20,20230520102941102_pink perch _good.jpeg,Pink perch,Good,,pink perch /good/20230520102941102_pink perch _good.jpeg,fish-data-collection-v2
2023-05-20,20230520103030189_pink perch_good.jpeg,Pink perch,Good,,pink perch/good/20230520103030189_pink perch_good.jpeg,fish-data-collection-v2
2023-05-20,20230520103054267_pink perch_good.jpeg,Pink perch,Good,,pink perch/good/20230520103054267_pink perch_good.jpeg,fish-data-collection-v2
2023-05-20,20230520103139452_pink perch_good.jpeg,Pink perch,Good,,pink perch/good/20230520103139452_pink perch_good.jpeg,fish-data-collection-v2
2023-05-20,20230520103200789_pink perch_good.jpeg,Pink perch,Good,,pink perch/good/20230520103200789_pink perch_good.jpeg,fish-data-collection-v2
2023-05-20,20230520103229814_pink perch_good.jpeg,Pink perch,Good,,pink perch/good/20230520103229814_pink perch_good.jpeg,fish-data-collection-v2
2023-05-20,20230520103249409_pink perch_good.jpeg,Pink perch,Good,,pink perch/good/20230520103249409_pink perch_good.jpeg,fish-data-collection-v2
2023-05-20,20230520103324839_pink perch_good.jpeg,Pink perch,Good,,pink perch/good/20230520103324839_pink perch_good.jpeg,fish-data-collection-v2
2023-05-20,20230520115822025_seer_good.jpeg,Seer,Good,,seer/good/20230520115822025_seer_good.jpeg,fish-data-collection-v2
2023-05-20,20230520115857483_seer_good.jpeg,Seer,Good,,seer/good/20230520115857483_seer_good.jpeg,fish-data-collection-v2
2023-05-20,20230520115926544_seer_good.jpeg,Seer,Good,,seer/good/20230520115926544_seer_good.jpeg,fish-data-collection-v2
2023-05-20,20230520115947698_seer_good.jpeg,Seer,Good,,seer/good/20230520115947698_seer_good.jpeg,fish-data-collection-v2
2023-05-20,20230520120010343_seer_good.jpeg,Seer,Good,,seer/good/20230520120010343_seer_good.jpeg,fish-data-collection-v2
2023-05-20,20230520120102744_seer_good.jpeg,Seer,Good,,seer/good/20230520120102744_seer_good.jpeg,fish-data-collection-v2
2023-05-23,20230523093706173_boti macha _good.jpeg,Boti macha,Good,,boti macha /good/20230523093706173_boti macha _good.jpeg,fish-data-collection-v2
2023-05-23,20230523093757321_boti macha _good.jpeg,Boti macha,Good,,boti macha /good/20230523093757321_boti macha _good.jpeg,fish-data-collection-v2
2023-05-23,20230523093821040_boti macha _good.jpeg,Boti macha,Good,,boti macha /good/20230523093821040_boti macha _good.jpeg,fish-data-collection-v2
2023-05-23,20230523093514615_boti macha_good.jpeg,Boti macha,Good,,boti macha/good/20230523093514615_boti macha_good.jpeg,fish-data-collection-v2
2023-05-23,20230523093531548_boti macha_good.jpeg,Boti macha,Good,,boti macha/good/20230523093531548_boti macha_good.jpeg,fish-data-collection-v2
2023-05-23,20230523093549088_boti macha_good.jpeg,Boti macha,Good,,boti macha/good/20230523093549088_boti macha_good.jpeg,fish-data-collection-v2
2023-05-23,20230523093607326_boti macha_good.jpeg,Boti macha,Good,,boti macha/good/20230523093607326_boti macha_good.jpeg,fish-data-collection-v2
2023-05-23,20230523093627893_boti macha_good.jpeg,Boti macha,Good,,boti macha/good/20230523093627893_boti macha_good.jpeg,fish-data-collection-v2
2023-05-23,20230523093645156_boti macha_good.jpeg,Boti macha,Good,,boti macha/good/20230523093645156_boti macha_good.jpeg,fish-data-collection-v2
2023-05-23,20230523093730790_boti macha_good.jpeg,Boti macha,Good,,boti macha/good/20230523093730790_boti macha_good.jpeg,fish-data-collection-v2
2023-05-23,20230523093105019_chara pana_good.jpeg,Chara pona,Good,,chara pana/good/20230523093105019_chara pana_good.jpeg,fish-data-collection-v2
2023-05-23,20230523093146040_chara pana_good.jpeg,Chara pona,Good,,chara pana/good/20230523093146040_chara pana_good.jpeg,fish-data-collection-v2
2023-05-23,20230523093203523_chara pana_good.jpeg,Chara pona,Good,,chara pana/good/20230523093203523_chara pana_good.jpeg,fish-data-collection-v2
2023-05-23,20230523093221808_chara pana_good.jpeg,Chara pona,Good,,chara pana/good/20230523093221808_chara pana_good.jpeg,fish-data-collection-v2
2023-05-23,20230523093239013_chara pana_good.jpeg,Chara pona,Good,,chara pana/good/20230523093239013_chara pana_good.jpeg,fish-data-collection-v2
2023-05-23,20230523093259376_chara pana_good.jpeg,Chara pona,Good,,chara pana/good/20230523093259376_chara pana_good.jpeg,fish-data-collection-v2
2023-05-23,20230523093317523_chara pana_good.jpeg,Chara pona,Good,,chara pana/good/20230523093317523_chara pana_good.jpeg,fish-data-collection-v2
2023-05-23,20230523093335879_chara pana_good.jpeg,Chara pona,Good,,chara pana/good/20230523093335879_chara pana_good.jpeg,fish-data-collection-v2
2023-05-23,20230523093407882_chara pana_good.jpeg,Chara pona,Good,,chara pana/good/20230523093407882_chara pana_good.jpeg,fish-data-collection-v2
2023-05-23,20230523092716399_papda_good.jpeg,Papda,Good,,papda/good/20230523092716399_papda_good.jpeg,fish-data-collection-v2
2023-05-23,20230523092738339_papda_good.jpeg,Papda,Good,,papda/good/20230523092738339_papda_good.jpeg,fish-data-collection-v2
2023-05-23,20230523092757470_papda_good.jpeg,Papda,Good,,papda/good/20230523092757470_papda_good.jpeg,fish-data-collection-v2
2023-05-23,20230523092820668_papda_good.jpeg,Papda,Good,,papda/good/20230523092820668_papda_good.jpeg,fish-data-collection-v2
2023-05-23,20230523092844151_papda_good.jpeg,Papda,Good,,papda/good/20230523092844151_papda_good.jpeg,fish-data-collection-v2
2023-05-23,20230523092907245_papda_good.jpeg,Papda,Good,,papda/good/20230523092907245_papda_good.jpeg,fish-data-collection-v2
2023-05-23,20230523092929555_papda_good.jpeg,Papda,Good,,papda/good/20230523092929555_papda_good.jpeg,fish-data-collection-v2
2023-05-23,20230523092945630_papda_good.jpeg,Papda,Good,,papda/good/20230523092945630_papda_good.jpeg,fish-data-collection-v2
2023-05-23,20230523093930124_sardine_bad.jpeg,Sardine,Bad,,sardine/bad/20230523093930124_sardine_bad.jpeg,fish-data-collection-v2
2023-05-23,20230523093944646_sardine_bad.jpeg,Sardine,Bad,,sardine/bad/20230523093944646_sardine_bad.jpeg,fish-data-collection-v2
2023-05-23,20230523094000829_sardine_bad.jpeg,Sardine,Bad,,sardine/bad/20230523094000829_sardine_bad.jpeg,fish-data-collection-v2
2023-05-23,20230523094019125_sardine_bad.jpeg,Sardine,Bad,,sardine/bad/20230523094019125_sardine_bad.jpeg,fish-data-collection-v2
2023-05-23,20230523094036995_sardine_bad.jpeg,Sardine,Bad,,sardine/bad/20230523094036995_sardine_bad.jpeg,fish-data-collection-v2
2023-05-23,20230523094053257_sardine_bad.jpeg,Sardine,Bad,,sardine/bad/20230523094053257_sardine_bad.jpeg,fish-data-collection-v2
