Date,Filename,Species,Class,Reason
2023-06-08,IMG20230608080643.jpg,Mackerel,Good,Manual_data
2023-06-08,IMG20230608080649.jpg,Mackerel,Good,Manual_data
2023-06-08,IMG20230608080700.jpg,Mackerel,Good,Manual_data
2023-06-08,IMG20230608080655.jpg,Mackerel,Good,Manual_data
2023-06-08,IMG20230608080717.jpg,Mackerel,Good,Manual_data
2023-06-08,IMG20230608080738.jpg,Mackerel,Good,Manual_data
2023-06-08,IMG20230608080727.jpg,Mackerel,Good,Manual_data
2023-06-08,IMG20230608080723.jpg,Mackerel,Good,Manual_data
2023-06-08,IMG20230608080733.jpg,Mackerel,Good,Manual_data
2023-06-08,IMG20230608080753.jpg,Mackerel,Good,Manual_data
2023-06-08,IMG20230608080809.jpg,Mackerel,Good,Manual_data
2023-06-08,IMG20230608080742.jpg,Mackerel,Good,Manual_data
2023-06-08,IMG20230608080747.jpg,Mackerel,Good,Manual_data
2023-06-08,IMG20230608081407.jpg,Mackerel,Good,Manual_data
2023-06-08,IMG20230608081416.jpg,Mackerel,Good,Manual_data
2023-06-08,IMG20230608081419.jpg,Mackerel,Good,Manual_data
2023-06-08,IMG20230608081443.jpg,Mackerel,Good,Manual_data
2023-06-08,IMG20230608081446.jpg,Mackerel,Good,Manual_data
2023-06-08,IMG20230608081431.jpg,Mackerel,Good,Manual_data
2023-06-08,IMG20230608081435.jpg,Mackerel,Good,Manual_data
2023-06-08,IMG20230608081506.jpg,Mackerel,Good,Manual_data
2023-06-08,IMG20230608081502.jpg,Mackerel,Good,Manual_data
2023-06-08,IMG20230608081450.jpg,Mackerel,Good,Manual_data
2023-06-08,IMG20230608081454.jpg,Mackerel,Good,Manual_data
2023-06-08,IMG20230608081522.jpg,Mackerel,Good,Manual_data
2023-06-08,IMG20230608081517.jpg,Mackerel,Good,Manual_data
2023-06-08,IMG20230608081513.jpg,Mackerel,Good,Manual_data
2023-06-08,IMG20230608081526.jpg,Mackerel,Good,Manual_data
2023-06-08,IMG20230608081542.jpg,Mackerel,Good,Manual_data
2023-06-08,IMG20230608081531.jpg,Mackerel,Good,Manual_data
2023-06-08,IMG20230608081535.jpg,Mackerel,Good,Manual_data
2023-06-08,IMG20230608081538.jpg,Mackerel,Good,Manual_data
2023-06-08,IMG20230608080708.jpg,Mackerel,Good,Manual_data
2023-06-08,IMG20230608080759.jpg,Mackerel,Good,Manual_data
2023-06-08,IMG20230608081425.jpg,Mackerel,Good,Manual_data
2023-06-08,IMG20230608081548.jpg,Mackerel,Good,Manual_data
2023-06-08,IMG20230608080444.jpg,Mackerel,Bad,Manual_data
2023-06-08,IMG20230608080422.jpg,Mackerel,Bad,Manual_data
2023-06-08,IMG20230608080442.jpg,Mackerel,Bad,Manual_data
2023-06-08,IMG20230608080455.jpg,Mackerel,Bad,Manual_data
2023-06-08,IMG20230608080458.jpg,Mackerel,Bad,Manual_data
2023-06-08,IMG20230608080504.jpg,Mackerel,Bad,Manual_data
2023-06-08,IMG20230608080537.jpg,Mackerel,Bad,Manual_data
2023-06-08,IMG20230608080544.jpg,Mackerel,Bad,Manual_data
2023-06-08,IMG20230608080541.jpg,Mackerel,Bad,Manual_data
2023-06-08,IMG20230608080552.jpg,Mackerel,Bad,Manual_data
2023-06-08,IMG20230608080558.jpg,Mackerel,Bad,Manual_data
2023-06-08,IMG20230608080603.jpg,Mackerel,Bad,Manual_data
2023-06-08,IMG20230608080548.jpg,Mackerel,Bad,Manual_data
2023-06-08,IMG20230608080616.jpg,Mackerel,Bad,Manual_data
2023-06-08,IMG20230608080609.jpg,Mackerel,Bad,Manual_data
2023-06-08,IMG20230608080608.jpg,Mackerel,Bad,Manual_data
2023-06-08,IMG20230608080612.jpg,Mackerel,Bad,Manual_data
2023-06-08,IMG20230608080622.jpg,Mackerel,Bad,Manual_data
2023-06-08,IMG20230608080824.jpg,Mackerel,Bad,Manual_data
2023-06-08,IMG20230608080836.jpg,Mackerel,Bad,Manual_data
2023-06-08,IMG20230608080830.jpg,Mackerel,Bad,Manual_data
